# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
MappedFileStorage.totalBytesMapped,1705908756359000000,1705908816382000000,140771328
FilePageCacheLockFree.totalNativeBytesReclaimed,1705908756359000000,1705908816382000000,0
StorageLockContext.competingThreads.max,1705908756359000000,1705908816382000000,9
FilePageCache.maxCacheSizeInBytes,1705908756359000000,1705908816382000000,503341056
FilePageCache.pageHits,1705908756359000000,1705908816382000000,6501
FileChannelInterruptsRetryer.totalRetriedAttempts,1705908756359000000,1705908816382000000,0
DirectByteBufferAllocator.reclaimed,1705908756359000000,1705908816382000000,87
FilePageCacheLockFree.totalBytesWritten,1705908756359000000,1705908816382000000,0
FilePageCacheLockFree.totalPagesReadMs,1705908756359000000,1705908816382000000,8
FilePageCacheLockFree.totalPageAllocationsWaited,1705908756359000000,1705908816382000000,0
FilePageCacheLockFree.totalPagesAllocated,1705908756359000000,1705908816382000000,101
FilePageCacheLockFree.housekeeperTimeSpentMs,1705908756359000000,1705908816382000000,186
StorageLockContext.competingThreads.90P,1705908756359000000,1705908816382000000,0
FilePageCacheLockFree.totalPagesReclaimed,1705908756359000000,1705908816382000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1705908756359000000,1705908816382000000,0
FilePageCacheLockFree.totalPagesWriteMs,1705908756359000000,1705908816382000000,0
FilePageCache.disposedBuffers,1705908756359000000,1705908816382000000,87
DirectByteBufferAllocator.misses,1705908756359000000,1705908816382000000,585
MappedFileStorage.totalPagesMapped,1705908756359000000,1705908816382000000,17
FilePageCache.pageLoads,1705908756359000000,1705908816382000000,504
StreamlinedBlobStorage.recordsDeleted,1705908756359000000,1705908816382000000,105
FilePageCache.capacityInBytes,1705908756359000000,1705908816382000000,503316478
StreamlinedBlobStorage.recordsRelocated,1705908756359000000,1705908816382000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1705908756359000000,1705908816382000000,1048576
FilePageCacheLockFree.totalBytesRequested,1705908756359000000,1705908816382000000,22339584
FilePageCacheLockFree.totalPagesRequested,1705908756359000000,1705908816382000000,2727
FilePageCacheLockFree.totalBytesRead,1705908756359000000,1705908816382000000,827392
MappedFileStorage.storages,1705908756359000000,1705908816382000000,16
FilePageCache.pageLoadsAboveSizeThreshold,1705908756359000000,1705908816382000000,66
FilePageCache.totalPageLoadsUs,1705908756359000000,1705908816382000000,545688
FilePageCacheLockFree.totalClosedStoragesReclaimed,1705908756359000000,1705908816382000000,0
FilePageCacheLockFree.totalPagesHandedOver,1705908756359000000,1705908816382000000,0
FilePageCacheLockFree.heapBytesInUse,1705908756359000000,1705908816382000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1705908756359000000,1705908816382000000,2794
FilePageCacheLockFree.totalPagesWritten,1705908756359000000,1705908816382000000,0
StreamlinedBlobStorage.recordsAllocated,1705908756359000000,1705908816382000000,187603
DirectByteBufferAllocator.disposed,1705908756359000000,1705908816382000000,0
DirectByteBufferAllocator.hits,1705908756359000000,1705908816382000000,86
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1705908756359000000,1705908816382000000,3496303
FilePageCache.totalPageDisposalsUs,1705908756359000000,1705908816382000000,1789
FilePageCacheLockFree.totalPagesRequestsMs,1705908756359000000,1705908816382000000,21
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1705908756359000000,1705908816382000000,504176640
FilePageCacheLockFree.housekeeperTurnsDone,1705908756359000000,1705908816382000000,119
