# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FlushQueue.executionTimeMaxNs,1705909149209000000,1705909209249000000,0
FlushQueue.executionTime90PNs,1705909149209000000,1705909209249000000,0
AWTEventQueue.eventsDispatched,1705909149209000000,1705909209249000000,0
jps.artifact.entities.serializer.load.entities.ms,1705909149209000000,1705909209249000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1705909149209000000,1705909209249000000,2
jps.reload.project.entities.ms,1705909149209000000,1705909209249000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1705909149209000000,1705909209249000000,3
jps.storage.jps.conf.reader.load.component.ms,1705909149209000000,1705909209249000000,18
jps.facet.change.listener.process.change.events.ms,1705909149209000000,1705909209249000000,1
workspaceModel.moduleManagerBridge.create.module.instance.ms,1705909149209000000,1705909209249000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1705909149209000000,1705909209249000000,1
workspaceModel.mutableEntityStorage.replace.by.source.ms,1705909149209000000,1705909209249000000,28
workspaceModel.mutableEntityStorage.entities.ms,1705909149209000000,1705909209249000000,2
jps.project.serializers.load.ms,1705909149209000000,1705909209249000000,138
jps.save.changed.project.entities.ms,1705909149209000000,1705909209249000000,1
jps.library.entities.serializer.load.entities.ms,1705909149209000000,1705909209249000000,0
jps.facet.change.listener.before.change.events.ms,1705909149209000000,1705909209249000000,1
workspaceModel.save.cache.to.file.ms,1705909149209000000,1705909209249000000,69
jps.load.initial.state.ms,1705909149209000000,1705909209249000000,8
workspaceModel.moduleManagerBridge.load.all.modules.ms,1705909149209000000,1705909209249000000,90
workspaceModel.orphan.listener.update.ms,1705909149209000000,1705909209249000000,3
workspaceModel.moduleManagerBridge.newModule.ms,1705909149209000000,1705909209249000000,0
workspaceModel.global.updates.ms,1705909149209000000,1705909209249000000,3
workspaceModel.global.apply.state.to.project.builder.ms,1705909149209000000,1705909209249000000,1
jps.app.storage.content.writer.save.component.ms,1705909149209000000,1705909209249000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1705909149209000000,1705909209249000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1705909149209000000,1705909209249000000,1
jps.global.get.libraries.ms,1705909149209000000,1705909209249000000,0
jps.global.get.library.ms,1705909149209000000,1705909209249000000,0
jps.apply.loaded.storage.ms,1705909149209000000,1705909209249000000,144
workspaceModel.moduleBridge.update.option.ms,1705909149209000000,1705909209249000000,0
